OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax,,,
18314,NR510,Hospital,Hospital,Independent Sector,Visible,TRUE,Lee Mill Hospital,,Beech Road,Ivybridge,Plymouth,Devon,,50.38948441,-3.959660053,NR5,Livewell Southwest,,01752 314800,,,01752 314804,,
18317,NR527,Hospital,Hospital,Independent Sector,Visible,TRUE,Mount Gould Hospital,,Mount Gould Road,,Plymouth,,,50.37840271,-4.112740517,NR5,Livewell Southwest,,01752 268011,,https://www.livewellsouthwest.co.uk/,,,
18351,NT202,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Bournemouth Hospital,,67 Landsdowne Road,,Bournemouth,BH1 1RW,50.73041916,-1.870926738,NT2,,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/individuals/centres/b/bournemouth/,,,
18352,NT204,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Brentwood Hospital,,Shenfield Road,,Brentwood,CM15 8EH,51.62333298,0.312835306,NT2,,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/brentwoodhospital,,,
18353,NT205,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Brighton Hospital,,Warren Road,Woodingdean,Brighton,BN2 6DX,50.83451843,-8.19E-02,NT2,,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/brightonhospital,,,
18354,NT206,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Bristol Hospital (Chesterfield),3 Clifton Hill,Clifton,,Bristol,BS8 1BN,51.45360947,-2.61598444,NT2,,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/bristol,,,
18356,NT209,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Cambridge Hospital,Nuffield Health Cambridge Hospital,4 Trumpington Road,,Cambridge,CB2 8AF,52.19035339,0.123558596,NT2,,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/cambridgehospital,,,
18357,NT210,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, The Grosvenor Hospital, Chester,Nuffield Health Chester Hospital, The Grosvenor,Wrexham Road,,53.17634583,-2.895246744,,,,,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/thegrosvenorhospitalchester,
18358,NT211,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Cheltenham Hospital,,Hatherley Lane,,Cheltenham,GL51 6SY,51.89192963,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/cheltenhamhospital,,,
18359,NT212,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Chichester Hospital,,78 Broyle Road,,Chichester,PO19 6WB,50.8479805,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/chichesterhospital,,,
18360,NT213,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Derby Hospital,,Rykneld Road,Littleover,Derby,DE23 4SN,52.89355087,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/derbyhospital,,,
18361,NT214,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Wessex Hospital,Nuffield Health Wessex Hospital,Winchester Road,Chandlers Ford,Eastleigh,SO53 2DW,50.99697495,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/wessex,,,
18362,NT215,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Exeter Hospital,Nuffield Health Exeter Hospital,Wonford Road,,Exeter,EX2 4UG,50.71631622,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/exeterhospital,,,
18363,NT216,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Guildford Hospital,,Stirling Road,,Guildford,GU2 7RF,51.24165344,,,,,01483 555800,,http://www.nuffieldhealth.com/guildfordhospital,,,
18365,NT218,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Haywards Heath Hospital,,Burrell Road,,Haywards Heath,RH16 1UD,51.00840378,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/haywards-heathhospital,,,
18366,NT219,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Hereford Hospital,,Venns Lane,,Hereford,HR1 1DF,52.06393814,,,,,01432 355131,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/herefordhospital,01432 344061,,
18367,NT222,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Ipswich Hospital,,Foxhall Road,,Ipswich,IP4 5SW,52.04751968,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/ipswichhospital,,,
18368,NT224,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Warwickshire Hospital,,The Chase,Old Milverton Lane,Leamington Spa,CV32 6RW,52.30849838,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/warwickshirehospital,,,
18369,NT225,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Leeds Hospital,Nuffield Health Leeds Hospital,2 Leighton Street,,Leeds,LS1 3EB,53.80065918,,,,,0113 388 2000,leedsnuffield@nhs.net,https://www.nuffieldhealth.com/hospitals/leeds,0113 3882187,,
18370,NT226,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Leicester Hospital,,Scraptoft Lane,,Leicester,LE5 1HY,52.64425659,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/leicesterhospital,,,
18371,NT229,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Newcastle-upon-Tyne Hospital,,Clayton Road,Jesmond,Newcastle Upon Tyne,NE2 1JP,54.98661423,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/newcastle-upon-tynehospital,,,
18372,NT230,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, North Staffordshire Hospital,,Clayton Road,,Newcastle Under Lyme,ST5 4DB,52.98740768,,,,,01782 382551,customerservice.enq@nuffieldhealth.com,http://www.nuffieldhealth.com/northstaffordshirehospital,,,
18373,NT233,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Plymouth Hospital,,Derriford Road,,Plymouth,PL6 8BG,50.41867447,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/plymouthhospital,,,
18374,NT235,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Shrewsbury Hospital,,Longden Road,,Shrewsbury,SY3 9DP,52.69225693,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/shrewsburyhospital,,,
18375,NT237,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Tees Hospital,Nuffield Health Tees Hospital,Junction Road,Norton,Stockton-on-Tees,TS20 1PX,54.59342575,,,,,0800 015 5020,tees.enquiries2@nuffieldhealth.com,http://www.nuffieldhealth.com/teeshospital,,,
18376,NT238,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Taunton Hospital,,Staplegrove Elm,,Taunton,TA2 6AN,51.02984619,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/tauntonhospital,,,
18377,NT239,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Tunbridge Wells Hospital,,Kingswood Road,,Tunbridge Wells,TN2 4UL,51.13151932,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/tunbridgewellshospital,,,
18378,NT241,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Woking Hospital,,Shores Road,,Woking,GU21 4BY,51.33221054,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/wokinghospital,,,
18379,NT242,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, Wolverhampton Hospital,,Wood Road,Tettenhall,Wolverhampton,WV6 8LE,52.5934639,,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/wolverhampton,,,
18380,NT244,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, The Manor Hospital, Oxford,,Beech Road,Headington,OX3 7RP,51.76044464,-1.215518713,,,,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/themanorhospitaloxford,,
18381,NT245,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health, York Hospital,,Haxby Road,,York,,53.97470093,-1.075559855,NT2,,,,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/yorkhospital,,
18385,NT301,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire South Bank Hospital,,139 Bath Road,,Worcester,Worcestershire,,,-2.2162323,NT3,,Spire Healthcare,,cservice-sb@spirehealthcare.com,https://www.spirehealthcare.com/spire-south-bank-hospital/,01905 362 031,,
18386,NT302,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Bristol Hospital,,Redland Hill,,Bristol,,,,-2.61485076,NT3,,Spire Healthcare,,info@spirebristol.com,https://www.spirehealthcare.com/spire-bristol-hospital/,0117 974 3203,,
18388,NT304,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Southampton Hospital,Chalybeate Hospital,Chalybeate Close,,Southampton,Hampshire,,,-1.432714343,NT3,,Spire Healthcare,,spire.southampton@nhs.net,https://www.spirehealthcare.com/spire-southampton-hospital/,,,
18389,NT305,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Portsmouth Hospital,Bartons Road,,,Havant,Hampshire,,,-0.955126107,NT3,,Spire Healthcare,,info@spireportsmouth.com,https://www.spirehealthcare.com/spire-portsmouth-hospital/,,,
18390,NT308,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Gatwick Park Hospital,Povey Cross Road,,,Horley,Surrey,,,-0.183382452,NT3,,Spire Healthcare,,spire.nhsteamgpk@nhs.net,https://www.spirehealthcare.com/spire-gatwick-park-hospital/,,,
18391,NT309,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Sussex Hospital,,The Ridge,,St. Leonards-on-Sea,,,,0.567722082,NT3,,Spire Healthcare,,info@spiresussex.com,https://www.spirehealthcare.com/spire-sussex-hospital/,01424 757 424,,
18392,NT310,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Tunbridge Wells Hospital,Fordcombe Road,Fordcombe,,Tunbridge Wells,Kent,,,0.188159764,NT3,,Spire Healthcare,,info@spiretunbridgewells.com,https://www.spirehealthcare.com/spire-tunbridge-wells-hospital/,01892 740046,,
18393,NT312,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Alexandra Hospital,Impton Lane,,,Chatham,Kent,,,0.526541173,NT3,,Spire Healthcare,,cservice-al@spirehealthcare.com,https://www.spirehealthcare.com/spire-alexandra-hospital/,01634 686 162,,
18394,NT313,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Wellesley Hospital,Eastern Avenue,,,Southend-on-Sea,Essex,,,0.727603078,NT3,,Spire Healthcare,,spire.wellesley@nhs.net,https://www.spirehealthcare.com/spire-wellesley-hospital/,01702 447937,,
18395,NT314,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire London East Hospital,Roding Lane South,,,Ilford,Essex,,,4.31E-02,NT3,,Spire Healthcare,,spire.londoneast@nhs.net,https://www.spirehealthcare.com/spire-london-east-hospital,020 8709 7877,,
18396,NT315,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Bushey Hospital,Heathbourne Road,Bushey Heath,,Bushey,Hertfordshire,,,-0.331717819,NT3,,Spire Healthcare,,spire.bushey@nhs.net,https://www.spirehealthcare.com/spire-bushey-hospital/,020 8950 7556,,
18397,NT316,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Harpenden Hospital,Spire Harpenden Hospital,Ambrose Lane,,Harpenden,,,,-0.360377461,NT3,,Spire Healthcare,,spire.harpenden@nhs.net,https://www.spirehealthcare.com/spire-harpenden-hospital/,0800 585 112,,
18398,NT317,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Cambridge Lea Hospital,30 New Road,Impington,,Cambridge,Cambridgeshire,,,0.113378502,NT3,,Spire Healthcare,,info@spirecambridge.com,https://www.spirehealthcare.com/spire-cambridge-lea-hospital/,01223 233 421,,
18399,NT318,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Norwich Hospital,Watton Road,,,Norwich,Norfolk,,,1.225765705,NT3,,Spire Healthcare,,spire.norwich@nhs.net,https://www.spirehealthcare.com/spire-norwich-hospital/,,,
18400,NT319,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Hartswood Hospital,Eagle Way,,,Brentwood,Essex,,,0.293041915,NT3,,Spire Healthcare,,spire.hartswood@nhs.net,https://www.spirehealthcare.com/spire-hartswood-hospital/,,,
18401,NT320,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Parkway Hospital,1 Damson Parkway,,,Solihull,West Midlands,,,-1.763121605,NT3,,Spire Healthcare,,spire.parkway@nhs.net,https://www.spirehealthcare.com/spire-parkway-hospital/,0121 711 3436,,
18402,NT321,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Little Aston Hospital,Little Aston Hall Drive,Little Aston,,Sutton Coldfield,,,,-1.875568867,NT3,,Spire Healthcare,,info@spirelittleaston.com,https://www.spirehealthcare.com/spire-little-aston-hospital/,0121 353 6897,,
18403,NT322,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Leicester Hospital,,Gartree Road,,Leicester,Leicestershire,,,-1.083456755,NT3,,Spire Healthcare,,info@spireleicester.com,https://www.spirehealthcare.com/spire-leicester-hospital/,0116 272 0666,,
18404,NT324,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Cheshire Hospital,,Fir Tree Close,Stretton,Warrington,Cheshire,,,-2.576329708,NT3,,Spire Healthcare,,spire.cheshire@nhs.net,https://www.spirehealthcare.com/spire-cheshire-hospital/,0800 195 3572,,
18405,NT325,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Murrayfield Hospital,Holmwood Drive,Thingwall,,Wirral,Merseyside,,,-3.080098629,NT3,,Spire Healthcare,,spire.murrayfield.nhsoffice@nhs.net,https://www.spirehealthcare.com/spire-murrayfield-hospital-wirral,0151 648 0481,,
18406,NT327,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Manchester Hospital,170 Barlow Moor Road,Didsbury,,Manchester,Greater Manchester,,,-2.25366497,NT3,,Spire Healthcare,,info@spiremanchester.com,https://www.spirehealthcare.com/spire-manchester-hospital/,0161 447 6678,,
18407,NT332,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Leeds Hospital,,Jackson Avenue,,Leeds,West Yorkshire,,,-1.513913035,NT3,,Spire Healthcare,,spire.leeds@nhs.net,https://www.spirehealthcare.com/spire-leeds-hospital/,0113 218 5920,,
18408,NT333,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Washington Hospital,Picktree Lane,,,Washington,Tyne and Wear,,,-1.559100747,NT3,,Spire Healthcare,,spire.washington@nhs.net,https://www.spirehealthcare.com/spire-washington-hospital/,0191 418 8606,,
18409,NT337,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Liverpool Hospital,Spire Liverpool Hospital,57 Greenbank Road,,Liverpool,,,,-2.924102306,NT3,,Spire Healthcare,,spire.liverpool@nhs.net,https://www.spirehealthcare.com/spire-liverpool-hospital/,0151 733 8043,,
18410,NT339,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Regency Hospital,West Street,,,Macclesfield,Cheshire,,,-2.137799501,NT3,,Spire Healthcare,,spire.regencyhospnhs@nhs.net,https://www.spirehealthcare.com/spire-regency-hospital-macclesfield/,01625 501800,,
18412,NT343,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Thames Valley Hospital,Wexham Street,Wexham,,Slough,Berkshire,,,-0.572400808,NT3,,Spire Healthcare,,cservice-tv@spirehealthcare.com,https://www.spirehealthcare.com/spire-thames-valley-hospital/,,,
18413,NT344,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Dunedin Hospital,16 Bath Road,,,Reading,Berkshire,,,-0.986806393,NT3,,Spire Healthcare,,spire.dunedin@nhs.net,https://www.spirehealthcare.com/spire-dunedin-hospital/,0118 9585531,,
18414,NT345,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Clare Park Hospital,Crondall Lane,,,Farnham,Surrey,,,-0.847474158,NT3,,Spire Healthcare,,info@spireclarepark.com,https://www.spirehealthcare.com/spire-clare-park-hospital/,,,
18416,NT347,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Fylde Coast Hospital,,St. Walburgas Road,,Blackpool,Lancashire,,,-3.019570589,NT3,,Spire Healthcare,,info@spirefyldecoast.com,https://www.spirehealthcare.com/spire-fylde-coast-hospital/,0800 587 4105,,
18417,NT348,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Elland Hospital,Elland Lane,,,Elland,West Yorkshire,,,-1.828913331,NT3,,Spire Healthcare,,spire.elland@nhs.net,https://www.spirehealthcare.com/spire-elland-hospital/,0800 138 8804,,
18419,NT350,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Methley Park Hospital,Methley Lane,Methley,,Leeds,West Yorkshire,,,-1.423310161,NT3,,Spire Healthcare,,spire.methleypark@nhs.net,https://www.spirehealthcare.com/spire-methley-park-hospital/,,,
18420,NT351,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Hull and East Riding Hospital,Lowfield Road,Anlaby,,Hull,,,,-0.435012013,NT3,,Spire Healthcare,,spire.hull@nhs.net,https://www.spirehealthcare.com/spire-hull-and-east-riding-hospital/,01482 654033 ,,
18421,NT364,Hospital,Hospital,Independent Sector,Visible,TRUE,The Montefiore Hospital,,2 Montefiore Road,,Hove,East Sussex,,,-0.154885277,NT3,,Spire Healthcare,,montefioreinfo@spirehealthcare.com,http://themontefiorehospital.co.uk/,01273 828 130,,
18423,NT401,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Alexandra Hospital,The Alexandra Hospital,Mill Lane,,Cheadle,Cheshire,,,-2.21581316,NT4,,BMI Healthcare,,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-alexandra-hospital,0161 491 3867,,
18424,NT402,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Bath Clinic,The Bath Clinic,Claverton Down Road,Combe Down,Bath,,,,-2.332021952,NT4,,BMI Healthcare,,bath@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-bath-clinic,01225 835900,,
18425,NT403,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Beardwood Hospital,,Preston New Road,,Blackburn,Lancashire,,,-2.513161898,NT4,,BMI Healthcare,,beardwood@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-beardwood-hospital,01254 507608,,
18426,NT404,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Beaumont Hospital,Chorley New Road,Lostock,,Bolton,Lancashire,,,-2.4991045,NT4,,BMI Healthcare,,beaumont@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-beaumont-hospital,01204 404488,,
18427,NT405,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Bishops Wood Hospital,,Rickmansworth Road,,Northwood,Middlesex,,,-0.446507066,NT4,,BMI Healthcare,,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-bishops-wood-hospital,01923 835181,,
18428,NT406,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Blackheath Hospital,,40 - 42 Lee Terrace,,London,,,,6.28E-03,NT4,,BMI Healthcare,,blackheath@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-blackheath-hospital,020 8318 2542,,
18430,NT408,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Chaucer Hospital,,Nackington Road,,Canterbury,Kent,,,1.087459326,NT4,,BMI Healthcare,,chaucer@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-chaucer-hospital,01227 762733,,
18431,NT409,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Chelsfield Park Hospital,,Bucks Cross Road,Chelsfield,Orpington,Kent,,,0.130860955,NT4,,BMI Healthcare,,chelsfield@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-chelsfield-park-hospital,01689 837439,,
18432,NT410,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Chiltern Hospital,,London Road,,Great Missenden,Buckinghamshire,,,-0.69365418,NT4,,BMI Healthcare,,chiltern@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-chiltern-hospital,01494 890250,,
18433,NT411,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Clementine Churchill Hospital,,Sudbury Hill,,Harrow,Middlesex,,,-0.332694322,NT4,,BMI Healthcare,,cch@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-clementine-churchill-hospital,020 8872 3871,,
18434,NT412,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Droitwich Spa Hospital,,St Andrews Road,,Droitwich,Worcestershire,,,-2.15086627,NT4,,BMI Healthcare,,droitwich@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-droitwich-spa-hospital,01905 793334,,
18435,NT413,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Esperance Hospital,,1 Hartington Place,,Eastbourne,,,,0.287030458,NT4,,BMI Healthcare,,esperance@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-esperance-hospital,01323 410626,,
18436,NT414,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Fawkham Manor Hospital,Manor Lane,Fawkham,,Longfield,Kent,,,0.286065489,NT4,,BMI Healthcare,,fawkham@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-fawkham-manor-hospital,01474 879827,,
18438,NT416,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Hendon Hospital,BMI Hendon Hospital,46-50 Sunny Gardens Road,Hendon,London,,,,-0.224589705,NT4,,BMI Healthcare,,garden@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-hendon-hospital,020 8457 4567,,
18439,NT417,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Goring Hall Hospital,Bodiam Avenue,Goring-By-Sea,,Worthing,West Sussex,,,-0.431818694,NT4,,BMI Healthcare,,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-goring-hall-hospital,01903 242348,,
18441,NT419,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Harbour Hospital,,St Mary's Road,,Poole,Dorset,,,-1.975681186,NT4,,BMI Healthcare,,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-harbour-hospital,01202 244201,,
18442,NT420,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Highfield Hospital,,Manchester Road,,Rochdale,Lancashire,,,-2.167490244,NT4,,BMI Healthcare,,highfield@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-highfield-hospital,01706 356759,,
18443,NT421,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Kings Oak Hospital,,The Ridgeway,,Enfield,Middlesex,,,-0.105554052,NT4,,BMI Healthcare,,kingsoak@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-kings-oak-hospital,020 8370 9501,,
18444,NT422,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The London Independent Hospital,,1 Beaumont Square,Stepney Green,London,,,,-4.67E-02,NT4,,BMI Healthcare,,lih@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-london-independent-hospital,020 7780 2401,,
